origin,destination,distance,transport_mode,base_lead_time,chaos_severity,event_type,actual_travel_time
PORT_SHANGHAI,PORT_LA,10500,Sea,14,0,Normal,18.57
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,2,Equipment Failure,21.8
WH_CHICAGO,WH_NY,1140,Road,2,9,Piracy Threat,4.6
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,8,Port Strike,4.87
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,4,Equipment Failure,1.52
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,0,Normal,6.26
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,1,Port Strike,2.49
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,8,Severe Weather,12.26
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,2,Port Strike,1.44
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,7,Equipment Failure,3.92
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,10,Equipment Failure,49.01
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,3,Piracy Threat,2.05
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,3,Congestion,9.69
PORT_LA,WH_CHICAGO,2800,Rail,4,9,Equipment Failure,10.73
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,8,Severe Weather,45.54
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,6,Equipment Failure,13.56
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,3,Piracy Threat,7.1
WH_CHICAGO,WH_NY,1140,Road,2,1,Equipment Failure,2.87
PORT_SHANGHAI,PORT_LA,10500,Sea,14,8,Congestion,34.28
PORT_LA,WH_CHICAGO,2800,Rail,4,1,Port Strike,4.16
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,4,Congestion,12.32
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,0,Normal,2.16
WH_CHICAGO,WH_NY,1140,Road,2,0,Normal,2.07
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,1,Piracy Threat,16.83
PORT_SHANGHAI,PORT_LA,10500,Sea,14,2,Port Strike,21.9
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,1,Severe Weather,6.56
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,9,Port Strike,33.77
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,0,Normal,1.14
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,4,Piracy Threat,3.22
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,1,Piracy Threat,6.32
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,1,Piracy Threat,1.28
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,10,Piracy Threat,4.75
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,0,Normal,15.43
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,8,Severe Weather,31.41
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,8,Severe Weather,2.96
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,0,Normal,19.04
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,4,Severe Weather,33.4
PORT_LA,WH_CHICAGO,2800,Rail,4,0,Normal,3.31
WH_CHICAGO,WH_NY,1140,Road,2,0,Normal,2.01
PORT_LA,WH_CHICAGO,2800,Rail,4,6,Piracy Threat,7.34
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,0,Normal,5.38
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,8,Congestion,14.61
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,6,Congestion,4.55
PORT_SHANGHAI,PORT_LA,10500,Sea,14,7,Congestion,35.17
PORT_SHANGHAI,PORT_LA,10500,Sea,14,0,Normal,15.14
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,9,Equipment Failure,32.31
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,5.83
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,6,Congestion,13.05
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,1,Equipment Failure,2.64
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,6,Port Strike,3.82
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,9,Severe Weather,14.72
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,3,Congestion,23.34
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,0,Normal,7.17
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,3,Equipment Failure,1.95
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,10,Port Strike,42.92
WH_CHICAGO,WH_NY,1140,Road,2,0,Normal,1.91
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,3,Port Strike,3.22
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,8,Severe Weather,4.47
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,1,Port Strike,9.63
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,2,Severe Weather,2.61
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,5,Piracy Threat,2.89
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,2,Severe Weather,9.25
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,2,Severe Weather,16.61
PORT_SHANGHAI,PORT_LA,10500,Sea,14,2,Port Strike,17.32
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,7,Equipment Failure,21.74
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,0,Normal,15.16
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,2,Port Strike,9.3
PORT_SHANGHAI,PORT_LA,10500,Sea,14,8,Equipment Failure,30.45
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,0,Normal,6.16
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,5.76
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,0,Normal,2.02
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,0,Normal,7.32
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,5,Equipment Failure,1.78
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,8,Piracy Threat,41.44
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,4,Severe Weather,21.95
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,5,Equipment Failure,11.12
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,1,Port Strike,1.71
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,4,Piracy Threat,3.53
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,10,Equipment Failure,19.14
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,0,Normal,7.44
PORT_SHANGHAI,PORT_LA,10500,Sea,14,4,Congestion,29.42
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,0,Normal,19.59
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,7,Equipment Failure,12.87
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,10,Congestion,17.11
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,7,Congestion,4.53
WH_CHICAGO,WH_NY,1140,Road,2,4,Port Strike,3.54
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,9,Port Strike,3.23
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,7,Piracy Threat,9.11
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,2,Congestion,20.53
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,3,Piracy Threat,6.53
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,8,Piracy Threat,48.95
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,1,Severe Weather,1.84
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,6,Severe Weather,3.9
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,3,Equipment Failure,3.03
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,10,Congestion,5.2
WH_CHICAGO,WH_NY,1140,Road,2,5,Piracy Threat,4.27
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,0,Normal,1.1
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,2,Severe Weather,5.86
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,3,Congestion,9.95
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,8,Equipment Failure,2.01
WH_CHICAGO,WH_NY,1140,Road,2,8,Equipment Failure,4.82
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,0,Normal,16.06
PORT_LA,WH_CHICAGO,2800,Rail,4,7,Congestion,9.01
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,0,Normal,10.3
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,3,Port Strike,8.96
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,6,Congestion,7.94
WH_CHICAGO,WH_NY,1140,Road,2,0,Normal,2.35
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,1,Piracy Threat,8.83
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,6,Severe Weather,13.67
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,7,Congestion,26.27
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,2,Port Strike,2.05
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,2,Severe Weather,2.41
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,3,Equipment Failure,2.11
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,0,Normal,5.53
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,4,Congestion,10.57
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,0,Normal,1.78
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,0,Normal,8.05
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,7,Equipment Failure,12.18
PORT_SHANGHAI,PORT_LA,10500,Sea,14,6,Equipment Failure,28.26
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,9,Equipment Failure,18.53
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,8,Piracy Threat,37.19
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,9,Port Strike,20.42
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,2,Port Strike,2.3
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,2,Port Strike,9.03
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,8,Congestion,52.97
PORT_LA,WH_CHICAGO,2800,Rail,4,8,Equipment Failure,10.56
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,7,Equipment Failure,35.38
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,4,Port Strike,33.1
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,5,Severe Weather,10.69
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,6,Port Strike,2.65
PORT_SHANGHAI,PORT_LA,10500,Sea,14,0,Normal,15.18
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,3,Severe Weather,20.77
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,1,Congestion,1.92
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,6,Piracy Threat,4.68
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,6,Port Strike,2.29
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,0,Normal,14.91
PORT_SHANGHAI,PORT_LA,10500,Sea,14,0,Normal,16.37
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,2,Equipment Failure,8.92
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,1,Congestion,1.18
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,3,Severe Weather,20.91
PORT_LA,WH_CHICAGO,2800,Rail,4,6,Congestion,8.87
PORT_SHANGHAI,PORT_LA,10500,Sea,14,10,Severe Weather,41.3
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,6,Severe Weather,4.57
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,2,Piracy Threat,2.15
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,0,Normal,1.74
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,1,Congestion,5.41
WH_CHICAGO,WH_NY,1140,Road,2,2,Equipment Failure,3.03
PORT_LA,WH_CHICAGO,2800,Rail,4,3,Congestion,6.25
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,0,Normal,2.4
WH_CHICAGO,WH_NY,1140,Road,2,0,Normal,1.92
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,0,Normal,18.99
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,6,Piracy Threat,4.14
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,9,Piracy Threat,10.53
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,0,Normal,11.09
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,5.29
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,3,Congestion,21.49
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,8,Congestion,4.12
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,3,Severe Weather,33.15
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,8,Equipment Failure,18.24
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,0,Normal,0.98
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,9,Severe Weather,3.98
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,8,Piracy Threat,2.69
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,9,Congestion,4.79
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,2,Port Strike,7.94
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,1,Port Strike,2.65
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,2,Equipment Failure,5.35
WH_CHICAGO,WH_NY,1140,Road,2,9,Port Strike,4.79
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,3,Port Strike,17.99
PORT_SHANGHAI,PORT_LA,10500,Sea,14,9,Piracy Threat,31.2
WH_CHICAGO,WH_NY,1140,Road,2,8,Congestion,4.85
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,6,Piracy Threat,3.04
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,4.8
PORT_SHANGHAI,PORT_LA,10500,Sea,14,0,Normal,14.57
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,3,Severe Weather,10.82
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,4,Port Strike,11.41
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,6,Severe Weather,2.42
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,0,Normal,14.97
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,2,Severe Weather,2.52
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,6,Congestion,11.52
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,2,Port Strike,20.5
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,1,Congestion,7.9
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,9,Severe Weather,14.18
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,0,Normal,25.08
PORT_SHANGHAI,PORT_LA,10500,Sea,14,7,Piracy Threat,27.84
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,5,Piracy Threat,12.71
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,0,Normal,7.03
PORT_LA,WH_CHICAGO,2800,Rail,4,5,Piracy Threat,7.04
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,10,Congestion,17.36
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,4,Severe Weather,7.79
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,9,Port Strike,14.76
PORT_LA,WH_CHICAGO,2800,Rail,4,5,Equipment Failure,7.79
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,4,Equipment Failure,11.61
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,3,Piracy Threat,3.33
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,0,Normal,6.26
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,1,Piracy Threat,2.28
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,9,Congestion,4.88
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,8,Piracy Threat,13.96
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,1,Piracy Threat,2.25
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,9,Congestion,19.39
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,8,Equipment Failure,14.6
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,6,Piracy Threat,13.23
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,5,Piracy Threat,11.92
PORT_LA,WH_CHICAGO,2800,Rail,4,4,Port Strike,6.61
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,8,Piracy Threat,5.92
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,10,Severe Weather,53.6
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,7,Piracy Threat,28.65
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,1,Equipment Failure,6.3
WH_CHICAGO,WH_NY,1140,Road,2,6,Piracy Threat,4.12
PORT_SHANGHAI,PORT_LA,10500,Sea,14,5,Severe Weather,32.01
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,2,Severe Weather,7.18
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,3,Severe Weather,29.24
PORT_LA,WH_CHICAGO,2800,Rail,4,0,Normal,4.22
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,8,Port Strike,5.26
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,10,Equipment Failure,6.66
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,4,Severe Weather,11.62
PORT_SHANGHAI,PORT_LA,10500,Sea,14,1,Congestion,19.17
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,3,Equipment Failure,9.27
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,3,Severe Weather,18.03
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,5,Severe Weather,10.67
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,1,Piracy Threat,1.55
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,0,Normal,19.22
WH_CHICAGO,WH_NY,1140,Road,2,9,Congestion,5.07
WH_CHICAGO,WH_NY,1140,Road,2,3,Piracy Threat,2.97
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,1,Port Strike,15.97
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,6,Severe Weather,27.74
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,0,Normal,12.75
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,5,Severe Weather,12.87
PORT_LA,WH_CHICAGO,2800,Rail,4,1,Equipment Failure,5.12
WH_CHICAGO,WH_NY,1140,Road,2,10,Congestion,6.27
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,10,Equipment Failure,6.16
WH_CHICAGO,WH_NY,1140,Road,2,8,Severe Weather,3.78
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,9,Severe Weather,15.79
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,3,Severe Weather,22.65
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,2,Severe Weather,1.52
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,3,Piracy Threat,9.22
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,3,Severe Weather,8.7
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,4,Equipment Failure,3.16
WH_CHICAGO,WH_NY,1140,Road,2,1,Equipment Failure,2.77
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,6,Severe Weather,2.79
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,4,Congestion,2.31
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,5.11
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,3,Equipment Failure,3.0
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,6,Piracy Threat,3.97
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,3,Piracy Threat,2.77
PORT_SHANGHAI,PORT_LA,10500,Sea,14,1,Piracy Threat,21.35
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,1,Port Strike,14.48
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,7,Equipment Failure,14.71
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,8,Port Strike,46.26
PORT_LA,WH_CHICAGO,2800,Rail,4,4,Port Strike,5.82
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,6,Piracy Threat,14.38
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,4,Severe Weather,3.84
PORT_LA,WH_CHICAGO,2800,Rail,4,5,Equipment Failure,8.54
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,1,Piracy Threat,8.73
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,2,Equipment Failure,19.29
PORT_SHANGHAI,PORT_LA,10500,Sea,14,0,Normal,13.81
PORT_LA,WH_CHICAGO,2800,Rail,4,2,Congestion,4.49
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,3,Congestion,17.96
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,7,Severe Weather,27.72
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,6,Severe Weather,40.09
WH_CHICAGO,WH_NY,1140,Road,2,3,Severe Weather,2.67
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,8,Severe Weather,3.97
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,8,Piracy Threat,38.51
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,10,Congestion,2.49
PORT_LA,WH_CHICAGO,2800,Rail,4,10,Piracy Threat,11.3
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,3,Severe Weather,3.41
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,0,Normal,5.72
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,0,Normal,20.58
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,4,Severe Weather,8.3
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,3,Severe Weather,10.27
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,8,Piracy Threat,3.8
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,5.61
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,8,Port Strike,2.36
WH_CHICAGO,WH_NY,1140,Road,2,9,Piracy Threat,5.71
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,4,Piracy Threat,3.33
PORT_SHANGHAI,PORT_LA,10500,Sea,14,5,Severe Weather,23.55
WH_CHICAGO,WH_NY,1140,Road,2,2,Equipment Failure,2.95
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,0,Normal,2.47
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,0,Normal,10.33
PORT_LA,WH_CHICAGO,2800,Rail,4,7,Severe Weather,9.62
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,0,Normal,5.64
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,7,Port Strike,11.63
WH_CHICAGO,WH_NY,1140,Road,2,5,Equipment Failure,4.4
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,4,Piracy Threat,13.15
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,4,Equipment Failure,3.15
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,0,Normal,7.68
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,1,Piracy Threat,23.23
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,7,Port Strike,32.98
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,2,Port Strike,21.54
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,7,Piracy Threat,3.11
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,3,Severe Weather,3.62
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,4.26
PORT_SHANGHAI,PORT_LA,10500,Sea,14,3,Piracy Threat,24.9
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,6,Severe Weather,3.19
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,3,Congestion,29.26
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,0,Normal,2.24
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,10,Equipment Failure,4.58
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,0,Normal,24.13
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,4,Congestion,2.91
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,4,Equipment Failure,2.42
WH_CHICAGO,WH_NY,1140,Road,2,7,Severe Weather,3.9
PORT_LA,WH_CHICAGO,2800,Rail,4,1,Port Strike,4.24
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,6,Severe Weather,12.09
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,6,Equipment Failure,3.92
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,3,Piracy Threat,12.32
